ID,MAIN_NAME,AIRPORT_NAME,SITE_ORIGIN_NAME,SITE_ORIGIN_GEOLOCATION__LONGITUDE__S,SITE_ORIGIN_GEOLOCATION__LATITUDE__S,ORIGIN_SITE_SERVICES__C,ORIGIN_SITE_TYPE__C,SITE_DESTINATION_NAME,SITE_DESTINATION_GEOLOCATION__LONGITUDE__S,SITE_DESTINATION_GEOLOCATION__LATITUDE__S,DESTINATION_SITE_SERVICES__C,DESTINATION_SITE_TYPE__C,DISTANCE_MILES__C,DISTANCE_KM__C
c1501268ea3747ef87,HTS231,HTS,HTS232,-82.34068251,38.15786876,ENG;PRT;FUL,US-WV,HTS233,-82.41292588,38.04331462,ENG;PRT;FUL,US-WV,8.836007822867145,14.220180573066887
0e3a28f8f5c5431a94,HTS231,HTS,HTS232,-82.34068251,38.15786876,ENG;PRT;FUL,US-WV,HTS231,-82.55799866,38.36669922,ENG;PRT;FUL,US-WV,18.63288242665679,29.986726813219136
ff4ebc04ddb5477b83,HTS231,HTS,HTS233,-82.41292588,38.04331462,ENG;PRT;FUL,US-WV,HTS232,-82.34068251,38.15786876,ENG;PRT;FUL,US-WV,8.836007822867145,14.220180573066887
b103159adb724beab9,HTS231,HTS,HTS233,-82.41292588,38.04331462,ENG;PRT;FUL,US-WV,HTS231,-82.55799866,38.36669922,ENG;PRT;FUL,US-WV,23.691365088106554,38.127568052108245
e3c6458c0bf5416fb8,HTS231,HTS,HTS231,-82.55799866,38.36669922,ENG;PRT;FUL,US-WV,HTS232,-82.34068251,38.15786876,ENG;PRT;FUL,US-WV,18.63288242665679,29.986726813219136
6233e641243844bf8b,HTS231,HTS,HTS231,-82.55799866,38.36669922,ENG;PRT;FUL,US-WV,HTS233,-82.41292588,38.04331462,ENG;PRT;FUL,US-WV,23.691365088106554,38.127568052108245
913b0841a316433f98,BWI291,BWI,BWI291,-76.668297,39.1754,ENG;PRT;FUL,US-MD,BWI293,-76.89192146,38.82170891,ENG;PRT;FUL,US-MD,27.228449884634088,43.81995600797927
517f23b32a7e421a8b,BWI291,BWI,BWI291,-76.668297,39.1754,ENG;PRT;FUL,US-MD,BWI292,-76.47029609999998,39.11017519,ENG;PRT;FUL,US-MD,11.527683291044172,18.552013677889974
e9f6599610e947dba1,BWI291,BWI,BWI293,-76.89192146,38.82170891,ENG;PRT;FUL,US-MD,BWI291,-76.668297,39.1754,ENG;PRT;FUL,US-MD,27.228449884634088,43.81995600797927
375b6493c871420a92,BWI291,BWI,BWI293,-76.89192146,38.82170891,ENG;PRT;FUL,US-MD,BWI292,-76.47029609999998,39.11017519,ENG;PRT;FUL,US-MD,30.17085999709029,48.5553075330041
0e9843b57de94b5f87,BWI291,BWI,BWI292,-76.47029609999998,39.11017519,ENG;PRT;FUL,US-MD,BWI291,-76.668297,39.1754,ENG;PRT;FUL,US-MD,11.527683291044172,18.552013677889974
e9e85109bec54624af,BWI291,BWI,BWI292,-76.47029609999998,39.11017519,ENG;PRT;FUL,US-MD,BWI293,-76.89192146,38.82170891,ENG;PRT;FUL,US-MD,30.17085999709029,48.5553075330041
e1038df3b947492583,DFW433,DFW,DFW434,-97.06373504,32.78326531,ENG;PRT;FUL,US-TX,DFW435,-97.26305876,33.091900800000005,ENG;PRT;FUL,US-TX,24.255588413547354,39.03559775648905
4c9dcba6f47f486d9f,DFW433,DFW,DFW434,-97.06373504,32.78326531,ENG;PRT;FUL,US-TX,DFW433,-97.038002,32.896801,ENG;PRT;FUL,US-TX,7.985524763787015,12.851460341385444
343307a7723c4ffbae,DFW433,DFW,DFW435,-97.26305876,33.091900800000005,ENG;PRT;FUL,US-TX,DFW434,-97.06373504,32.78326531,ENG;PRT;FUL,US-TX,24.255588413547354,39.03559775648905
d2b7e9a61f0a4af0ac,DFW433,DFW,DFW435,-97.26305876,33.091900800000005,ENG;PRT;FUL,US-TX,DFW433,-97.038002,32.896801,ENG;PRT;FUL,US-TX,18.756559162886045,30.185765288187
c292252c9e7b4a21aa,DFW433,DFW,DFW433,-97.038002,32.896801,ENG;PRT;FUL,US-TX,DFW434,-97.06373504,32.78326531,ENG;PRT;FUL,US-TX,7.985524763787015,12.851460341385444
e0f59e39e8af47f683,DFW433,DFW,DFW433,-97.038002,32.896801,ENG;PRT;FUL,US-TX,DFW435,-97.26305876,33.091900800000005,ENG;PRT;FUL,US-TX,18.756559162886045,30.185765288187
